"The data shown here is provided by Statistics Canada from the 2006 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2006, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2006,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
  40 to 44 years," 1,410 "," 3,805 "," 1,760 "," 2,480 "," 2,640 "," 2,940 "," 4,000 "," 1,230 "," 2,395 "," 3,465 "," 2,335 "," 2,345 "," 1,020 "," 4,275 "," 1,995 ", 660 , 610 ," 1,100 "," 2,770 "," 2,300 "," 3,970 "," 1,020 "," 50,430 "," 182,145 "
  45 to 49 years," 1,330 "," 3,305 "," 1,735 "," 2,130 "," 2,420 "," 2,610 "," 3,595 "," 1,205 "," 2,330 "," 2,950 "," 2,165 "," 1,900 ", 965 ," 3,910 "," 1,735 ", 680 , 510 ," 1,055 "," 2,655 "," 2,395 "," 3,185 ", 975 ," 45,650 "," 178,245 "
  50 to 54 years," 1,235 "," 3,020 "," 1,785 "," 2,060 "," 2,090 "," 2,260 "," 3,205 "," 1,180 "," 2,150 "," 2,665 "," 1,835 "," 1,590 "," 1,060 "," 3,365 "," 1,570 ", 755 , 440 ," 1,020 "," 2,190 "," 2,210 "," 2,880 "," 1,045 "," 41,510 "," 160,130 "
  55 to 59 years," 1,090 "," 2,705 "," 1,710 "," 2,040 "," 1,705 "," 1,940 "," 2,535 "," 1,130 "," 1,865 "," 2,610 "," 1,545 "," 1,295 ", 970 ," 2,840 "," 1,410 ", 735 , 450 , 845 ," 2,080 "," 1,990 "," 2,680 "," 1,115 "," 37,180 "," 139,655 "
  60 to 64 years, 690 ," 1,880 "," 1,135 "," 1,425 "," 1,035 "," 1,310 "," 1,675 ", 820 ," 1,170 "," 1,750 ", 945 , 750 , 600 ," 1,795 ", 810 , 470 , 255 , 615 ," 1,445 "," 1,190 "," 2,110 ", 785 ," 24,565 "," 98,140 "
  65 to 69 years, 590 ," 1,255 ", 845 , 995 , 805 ," 1,430 "," 1,625 ", 620 , 995 ," 1,075 ", 765 , 625 , 495 ," 1,985 ", 720 , 395 , 210 , 630 ," 1,300 "," 1,225 "," 1,535 ", 545 ," 20,620 "," 76,580 "
  70 to 74 years, 570 , 920 , 695 , 780 , 785 ," 1,470 "," 1,575 ", 485 , 940 , 780 , 625 , 435 , 520 ," 1,770 ", 680 , 340 , 195 , 680 ," 1,295 "," 1,115 "," 1,070 ", 400 ," 18,075 "," 64,565 "
  75 to 79 years, 610 , 735 , 515 , 705 , 640 ," 1,160 "," 1,255 ", 415 , 780 , 750 , 585 , 345 , 520 ," 1,425 ", 575 , 315 , 200 , 605 , 955 , 940 ," 1,055 ", 380 ," 15,420 "," 54,185 "
  80 to 84 years, 605 , 460 , 425 , 650 , 425 , 755 , 800 , 315 , 500 , 540 , 465 , 245 , 495 , 905 , 395 , 240 , 195 , 430 , 620 , 825 , 785 , 285 ," 11,300 "," 40,650 "
  85 to 89 years, 475 , 205 , 220 , 440 , 190 , 365 , 340 , 190 , 340 , 350 , 310 , 165 , 300 , 440 , 210 , 190 , 120 , 305 , 275 , 545 , 410 , 170 ," 6,525 "," 23,065 "
  90 to 94 years, 250 , 95 , 110 , 255 , 70 , 135 , 155 , 90 , 120 , 145 , 155 , 75 , 125 , 175 , 95 , 90 , 65 , 155 , 120 , 255 , 185 , 80 ," 3,010 "," 9,600 "
  95 to 99 years, 70 , 30 , 25 , 80 , 15 , 35 , 45 , 15 , 60 , 35 , 60 , 30 , 30 , 50 , 30 , 40 , 25 , 50 , 40 , 75 , 55 , 15 , 910 ," 2,485 "
  100 years and over, 10 , 10 , -   , 10 , -   , 5 , 10 , 5 , 15 , 5 , 10 , 5 , 5 , 5 , 5 , 5 , 5 , 10 , 5 , 10 , 5 , -   , 125 , 340 
Median age,43.1,36.5,40.7,38.9,37.6,39.7,37.9,41.7,40.1,36.2,39.7,36.2,43.6,38,38.3,43.4,37.7,47.1,36.7,41.1,37.4,41.8,38.6,39.1
,,,,,,,,,,,,,,,,,,,,,,,,
"Male, Total"," 7,305 "," 24,135 "," 10,480 "," 12,875 "," 13,870 "," 16,150 "," 21,805 "," 6,795 "," 12,895 "," 19,140 "," 11,415 "," 11,665 "," 5,895 "," 23,930 "," 10,415 "," 4,205 "," 3,355 "," 6,535 "," 17,260 "," 13,925 "," 23,160 "," 6,205 "," 282,750 "," 1,032,445 "
  0 to 4 years, 260 , 760 , 580 , 505 , 660 , 885 ," 1,190 ", 315 , 610 , 830 , 500 , 540 , 185 ," 1,280 ", 680 , 160 , 205 , 160 ," 1,110 ", 655 , 520 , 275 ," 12,830 "," 53,980 "
  5 to 9 years, 365 , 495 , 660 , 290 , 550 , 860 ," 1,190 ", 340 , 680 , 600 , 505 , 425 , 270 ," 1,305 ", 545 , 250 , 185 , 210 ," 1,150 ", 705 , 310 , 335 ," 12,185 "," 57,910 "
  10 to 14 years, 575 , 335 , 745 , 280 , 570 , 930 ," 1,295 ", 465 , 870 , 585 , 615 , 375 , 375 ," 1,425 ", 500 , 230 , 170 , 225 ," 1,075 ", 920 , 230 , 360 ," 13,110 "," 66,295 "
  15 to 19 years, 725 , 515 , 865 , 305 , 540 , 955 ," 1,310 ", 665 , 955 , 670 , 840 , 340 , 480 ," 1,540 ", 570 , 355 , 190 , 220 ," 1,165 "," 1,080 ", 410 , 455 ," 15,095 "," 70,340 "
  20 to 24 years, 535 ," 1,865 ", 850 , 790 , 965 ," 1,105 "," 1,615 ", 530 ," 1,055 "," 1,425 ", 910 , 815 , 535 ," 2,100 ", 705 , 340 , 230 , 235 ," 1,310 "," 1,060 "," 1,955 ", 515 ," 21,395 "," 74,420 "
  25 to 29 years, 360 ," 3,230 ", 500 ," 1,515 "," 1,385 "," 1,080 "," 1,645 ", 320 , 875 ," 2,460 ", 855 ," 1,430 ", 355 ," 1,905 ", 830 , 255 , 280 , 345 ," 1,270 ", 920 ," 3,240 ", 425 ," 25,450 "," 69,760 "
  30 to 34 years, 295 ," 3,280 ", 430 ," 1,785 "," 1,420 "," 1,190 "," 1,620 ", 290 , 765 ," 2,540 ", 775 ," 1,530 ", 245 ," 1,720 ", 885 , 160 , 305 , 405 ," 1,310 ", 765 ," 3,105 ", 295 ," 25,100 "," 70,065 "
  35 to 39 years, 400 ," 2,935 ", 660 ," 1,480 "," 1,470 "," 1,340 "," 1,890 ", 415 , 945 ," 2,205 ", 995 ," 1,400 ", 290 ," 1,850 ", 950 , 190 , 305 , 485 ," 1,355 ", 955 ," 2,760 ", 365 ," 25,595 "," 79,800 "
  40 to 44 years, 630 ," 2,340 ", 815 ," 1,180 "," 1,370 "," 1,475 "," 2,050 ", 530 ," 1,080 "," 1,695 "," 1,120 "," 1,245 ", 460 ," 2,050 ", 975 , 295 , 275 , 660 ," 1,380 "," 1,040 "," 2,410 ", 485 ," 25,505 "," 88,790 "
  45 to 49 years, 585 ," 1,990 ", 810 , 930 ," 1,210 "," 1,260 "," 1,730 ", 525 ," 1,055 "," 1,370 ", 945 , 940 , 435 ," 1,915 ", 800 , 310 , 240 , 695 ," 1,315 "," 1,110 "," 1,800 ", 450 ," 22,370 "," 86,395 "
  50 to 54 years, 555 ," 1,755 ", 855 , 870 ," 1,000 "," 1,075 "," 1,560 ", 560 , 985 ," 1,210 ", 905 , 805 , 485 ," 1,615 ", 700 , 340 , 205 , 645 ," 1,025 "," 1,055 "," 1,575 ", 495 ," 20,245 "," 78,380 "
  55 to 59 years, 535 ," 1,560 ", 835 , 885 , 880 , 980 ," 1,240 ", 555 , 860 ," 1,215 ", 760 , 635 , 450 ," 1,365 ", 680 , 360 , 200 , 560 ," 1,000 ", 980 ," 1,445 ", 545 ," 18,460 "," 68,655 "
  60 to 64 years, 325 ," 1,060 ", 585 , 620 , 490 , 605 , 780 , 385 , 545 , 830 , 460 , 370 , 315 , 830 , 375 , 245 , 125 , 380 , 680 , 595 ," 1,100 ", 380 ," 12,030 "," 48,365 "
  65 to 69 years, 265 , 735 , 410 , 450 , 390 , 655 , 770 , 280 , 450 , 490 , 365 , 290 , 225 , 875 , 330 , 190 , 105 , 370 , 620 , 540 , 820 , 275 ," 9,870 "," 36,605 "
  70 to 74 years, 235 , 525 , 345 , 315 , 395 , 725 , 760 , 230 , 450 , 365 , 315 , 205 , 235 , 855 , 325 , 165 , 90 , 360 , 610 , 555 , 515 , 180 ," 8,720 "," 30,845 "
  75 to 79 years, 260 , 400 , 240 , 275 , 320 , 545 , 620 , 190 , 330 , 310 , 260 , 145 , 215 , 675 , 285 , 140 , 90 , 285 , 455 , 415 , 475 , 160 ," 7,075 "," 24,305 "
  80 to 84 years, 195 , 230 , 180 , 215 , 165 , 305 , 340 , 110 , 220 , 175 , 155 , 95 , 185 , 385 , 160 , 100 , 80 , 175 , 265 , 305 , 305 , 115 ," 4,455 "," 16,060 "
  85 to 89 years, 135 , 85 , 90 , 120 , 65 , 130 , 120 , 60 , 120 , 110 , 90 , 50 , 120 , 170 , 80 , 70 , 45 , 80 , 105 , 170 , 125 , 50 ," 2,160 "," 7,905 "
  90 to 94 years, 65 , 35 , 30 , 55 , 30 , 30 , 65 , 25 , 30 , 35 , 45 , 20 , 35 , 60 , 30 , 30 , 20 , 30 , 55 , 65 , 45 , 25 , 860 ," 2,870 "
  95 to 99 years, 15 , 10 , 5 , 15 , 5 , 5 , 15 , 5 , 15 , 15 , 10 , 5 , 10 , 15 , 10 , 10 , 5 , 10 , 15 , 20 , 10 , 5 , 225 , 620 
  100 years and over, 5 , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 30 , 65 
Median age,41.2,37.5,39.7,38.1,37.7,39.1,37.6,40.6,38.4,35.9,38.5,36.2,42.4,36.8,37.7,42.6,36.5,47.5,35.9,39.5,38.1,40.8,38.1,38.3
,,,,,,,,,,,,,,,,,,,,,,,,
"Female, Total "," 8,835 "," 19,280 "," 10,995 "," 16,420 "," 14,335 "," 16,975 "," 22,855 "," 7,820 "," 14,285 "," 21,450 "," 12,365 "," 11,950 "," 6,835 "," 24,955 "," 11,395 "," 4,695 "," 3,710 "," 5,390 "," 17,970 "," 15,280 "," 21,400 "," 6,785 "," 295,290 "," 1,084,135 "
  0 to 4 years, 255 , 700 , 575 , 455 , 570 , 830 ," 1,185 ", 290 , 600 , 760 , 435 , 460 , 205 ," 1,105 ", 560 , 150 , 195 , 175 ," 1,050 ", 560 , 500 , 310 ," 11,900 "," 51,300 "
  5 to 9 years, 350 , 465 , 620 , 320 , 530 , 830 ," 1,200 ", 330 , 710 , 525 , 420 , 415 , 245 ," 1,195 ", 575 , 240 , 165 , 195 ," 1,035 ", 655 , 340 , 320 ," 11,635 "," 54,360 "
  10 to 14 years, 540 , 375 , 710 , 260 , 545 , 855 ," 1,150 ", 470 , 765 , 515 , 600 , 310 , 315 ," 1,320 ", 530 , 230 , 145 , 210 ," 1,040 ", 810 , 245 , 375 ," 12,265 "," 61,890 "
  15 to 19 years, 630 , 540 , 800 , 320 , 565 , 965 ," 1,265 ", 620 , 900 , 625 , 810 , 370 , 450 ," 1,515 ", 540 , 315 , 150 , 220 ," 1,080 "," 1,015 ", 405 , 365 ," 14,395 "," 66,855 "
  20 to 24 years, 525 ," 2,055 ", 775 ," 1,125 "," 1,190 "," 1,095 "," 1,590 ", 535 , 950 ," 1,970 ", 965 , 945 , 530 ," 1,930 ", 730 , 355 , 250 , 265 ," 1,275 "," 1,140 "," 2,355 ", 550 ," 23,050 "," 74,095 "
  25 to 29 years, 370 ," 2,835 ", 495 ," 2,080 "," 1,515 "," 1,155 "," 1,775 ", 395 , 850 ," 2,910 ", 895 ," 1,610 ", 410 ," 1,860 ", 960 , 285 , 325 , 315 ," 1,335 ", 960 ," 3,370 ", 385 ," 27,040 "," 73,535 "
  30 to 34 years, 400 ," 2,625 ", 485 ," 2,105 "," 1,480 "," 1,230 "," 1,935 ", 375 , 945 ," 2,625 ", 860 ," 1,535 ", 310 ," 1,895 ", 990 , 190 , 340 , 370 ," 1,455 ", 920 ," 2,730 ", 360 ," 26,135 "," 76,345 "
  35 to 39 years, 610 ," 1,980 ", 780 ," 1,630 "," 1,420 "," 1,405 "," 1,995 ", 555 ," 1,065 "," 2,230 "," 1,005 "," 1,320 ", 430 ," 2,015 "," 1,040 ", 280 , 340 , 385 ," 1,465 "," 1,000 "," 2,145 ", 480 ," 25,535 "," 85,845 "
  40 to 44 years, 780 ," 1,470 ", 940 ," 1,300 "," 1,270 "," 1,465 "," 1,955 ", 705 ," 1,315 "," 1,765 "," 1,215 "," 1,095 ", 565 ," 2,225 "," 1,015 ", 365 , 335 , 440 ," 1,400 "," 1,260 "," 1,560 ", 535 ," 24,925 "," 93,355 "
  45 to 49 years, 745 ," 1,315 ", 930 ," 1,195 "," 1,215 "," 1,350 "," 1,860 ", 680 ," 1,270 "," 1,575 "," 1,220 ", 960 , 530 ," 1,990 ", 935 , 370 , 275 , 365 ," 1,340 "," 1,285 "," 1,385 ", 525 ," 23,280 "," 91,855 "
  50 to 54 years, 680 ," 1,265 ", 925 ," 1,195 "," 1,090 "," 1,180 "," 1,650 ", 615 ," 1,165 "," 1,460 ", 930 , 785 , 570 ," 1,755 ", 865 , 410 , 230 , 375 ," 1,165 "," 1,155 "," 1,305 ", 555 ," 21,270 "," 81,745 "
  55 to 59 years, 560 ," 1,145 ", 875 ," 1,160 ", 825 , 960 ," 1,295 ", 575 ," 1,000 "," 1,390 ", 780 , 665 , 520 ," 1,475 ", 730 , 375 , 250 , 290 ," 1,080 "," 1,010 "," 1,235 ", 570 ," 18,725 "," 70,995 "
  60 to 64 years, 360 , 820 , 555 , 810 , 545 , 710 , 890 , 430 , 625 , 930 , 490 , 375 , 290 , 960 , 435 , 225 , 130 , 235 , 765 , 595 ," 1,010 ", 405 ," 12,535 "," 49,780 "
  65 to 69 years, 330 , 515 , 435 , 550 , 415 , 780 , 855 , 345 , 540 , 585 , 400 , 335 , 275 ," 1,115 ", 390 , 200 , 105 , 250 , 680 , 685 , 715 , 270 ," 10,750 "," 39,965 "
  70 to 74 years, 340 , 395 , 350 , 470 , 390 , 745 , 815 , 260 , 490 , 415 , 310 , 230 , 285 , 910 , 355 , 175 , 105 , 320 , 690 , 565 , 555 , 220 ," 9,355 "," 33,720 "
  75 to 79 years, 350 , 340 , 270 , 430 , 320 , 615 , 635 , 225 , 455 , 440 , 325 , 200 , 305 , 745 , 290 , 170 , 105 , 320 , 500 , 525 , 585 , 215 ," 8,350 "," 29,885 "
  80 to 84 years, 410 , 230 , 245 , 440 , 255 , 445 , 450 , 210 , 275 , 365 , 310 , 150 , 310 , 520 , 230 , 145 , 110 , 250 , 355 , 520 , 480 , 170 ," 6,850 "," 24,590 "
  85 to 89 years, 345 , 115 , 130 , 315 , 125 , 235 , 220 , 135 , 220 , 240 , 225 , 115 , 180 , 270 , 125 , 120 , 75 , 225 , 170 , 375 , 290 , 120 ," 4,365 "," 15,160 "
  90 to 94 years, 190 , 60 , 85 , 195 , 40 , 105 , 90 , 65 , 90 , 110 , 110 , 55 , 85 , 115 , 65 , 55 , 45 , 125 , 70 , 185 , 145 , 55 ," 2,150 "," 6,730 "
  95 to 99 years, 50 , 25 , 25 , 65 , 10 , 25 , 35 , 10 , 45 , 20 , 50 , 25 , 20 , 35 , 25 , 30 , 15 , 40 , 25 , 55 , 40 , 10 , 690 ," 1,860 "
  100 years and over, 10 , 5 , 5 , 5 , -   , -   , 5 , 5 , 10 , -   , 10 , 10 , -   , -   , -   , 5 , -   , 5 , -   , 5 , 5 , -   , 95 , 270 
Median age,44.7,35.1,41.5,39.7,37.4,40.4,38.2,42.5,41.6,36.5,40.8,36.1,44.6,39.1,38.8,44.1,38.9,46.6,37.4,42.4,36.6,42.5,39.1,39.9
,,,,,,,,,,,,,,,,,,,,,,,,
 20% data below ,,,,,,,,,,,,,,,,,,,,,,,,
 Total population 15 years and over by legal marital status ," 13,505 "," 39,625 "," 17,420 "," 26,425 "," 24,500 "," 27,785 "," 37,080 "," 12,445 "," 22,645 "," 36,550 "," 20,080 "," 20,775 "," 10,930 "," 41,050 "," 18,260 "," 7,455 "," 5,750 "," 10,115 "," 28,820 "," 24,510 "," 42,200 "," 11,000 "," 497,830 "," 1,752,390 "
   Never legally married (single) ," 4,385 "," 20,910 "," 5,650 "," 13,145 "," 13,070 "," 10,160 "," 14,015 "," 4,260 "," 7,580 "," 19,165 "," 7,785 "," 11,475 "," 3,505 "," 14,835 "," 7,400 "," 2,590 "," 2,410 "," 4,655 "," 9,220 "," 8,305 "," 24,975 "," 4,035 "," 213,070 "," 597,755 "
   Legally married (and not separated) ," 7,035 "," 12,880 "," 9,835 "," 8,485 "," 6,845 "," 13,545 "," 17,940 "," 6,605 "," 11,780 "," 11,645 "," 9,465 "," 5,915 "," 5,840 "," 20,815 "," 8,295 "," 4,040 "," 2,635 "," 2,735 "," 15,990 "," 12,650 "," 9,945 "," 5,390 "," 209,840 "," 888,310 "
"   Separated, but still legally married ", 235 ," 1,195 ", 320 , 750 ," 1,000 ", 785 ," 1,005 ", 235 , 670 , 875 , 530 , 790 , 235 ," 1,060 ", 485 , 120 , 90 , 485 , 710 , 625 ," 1,315 ", 215 ," 13,700 "," 49,975 "
   Divorced , 830 ," 3,580 ", 940 ," 3,045 "," 2,480 "," 1,700 "," 2,250 ", 720 ," 1,455 "," 3,660 "," 1,470 "," 1,900 ", 520 ," 2,095 "," 1,210 ", 320 , 415 ," 1,130 "," 1,345 "," 1,260 "," 4,535 ", 815 ," 37,615 "," 128,040 "
   Widowed ," 1,020 "," 1,055 ", 675 , 995 ," 1,110 "," 1,600 "," 1,870 ", 625 ," 1,165 "," 1,200 ", 830 , 695 , 830 ," 2,245 ", 870 , 380 , 205 ," 1,110 "," 1,550 "," 1,665 "," 1,425 ", 545 ," 23,600 "," 88,300 "
 Total population 15 years and over by common-law status ," 13,505 "," 39,630 "," 17,420 "," 26,425 "," 24,500 "," 27,785 "," 37,080 "," 12,445 "," 22,650 "," 36,555 "," 20,080 "," 20,780 "," 10,930 "," 41,045 "," 18,265 "," 7,455 "," 5,750 "," 10,115 "," 28,815 "," 24,510 "," 42,200 "," 11,000 "," 497,830 "," 1,752,390 "
   Not in a common-law relationship ," 13,105 "," 34,825 "," 16,450 "," 22,760 "," 21,175 "," 25,990 "," 34,760 "," 11,930 "," 21,620 "," 31,130 "," 19,090 "," 18,190 "," 10,665 "," 39,175 "," 16,665 "," 7,150 "," 5,260 "," 9,410 "," 27,940 "," 23,835 "," 36,105 "," 10,215 "," 456,440 "," 1,634,610 "
   In a common-law relationship , 395 ," 4,795 ", 975 ," 3,665 "," 3,330 "," 1,795 "," 2,325 ", 515 ," 1,025 "," 5,420 ", 990 ," 2,585 ", 265 ," 1,875 "," 1,600 ", 305 , 495 , 705 , 880 , 675 ," 6,090 ", 790 ," 41,390 "," 117,775 "
 Total population by mother tongue ," 15,835 "," 42,580 "," 21,315 "," 28,490 "," 27,945 "," 33,000 "," 44,315 "," 14,620 "," 26,845 "," 40,385 "," 23,255 "," 23,300 "," 12,535 "," 48,660 "," 21,640 "," 8,715 "," 6,825 "," 11,285 "," 35,305 "," 28,790 "," 44,325 "," 12,990 "," 571,600 "," 2,097,965 "
   Single responses ," 15,660 "," 41,950 "," 21,115 "," 28,165 "," 27,520 "," 32,330 "," 43,360 "," 14,515 "," 26,145 "," 39,780 "," 22,685 "," 22,695 "," 12,230 "," 47,270 "," 21,095 "," 8,565 "," 6,740 "," 11,155 "," 34,195 "," 28,140 "," 43,610 "," 12,855 "," 560,440 "," 2,060,350 "
     English ," 7,265 "," 23,950 "," 14,580 "," 20,095 "," 17,325 "," 12,135 "," 15,300 "," 8,035 "," 8,995 "," 30,280 "," 8,490 "," 14,445 "," 3,960 "," 12,415 "," 11,805 "," 5,320 "," 4,205 "," 4,955 "," 8,780 "," 7,405 "," 27,170 "," 9,300 "," 275,160 "," 1,190,555 "
     French , 210 ," 1,060 ", 300 , 910 , 640 , 210 , 465 , 150 , 185 ," 1,275 ", 255 , 520 , 40 , 245 , 285 , 75 , 125 , 220 , 170 , 125 ," 1,505 ", 360 ," 9,335 "," 24,135 "
     Non-official languages ," 8,175 "," 16,935 "," 6,235 "," 7,165 "," 9,555 "," 19,985 "," 27,595 "," 6,325 "," 16,960 "," 8,225 "," 13,940 "," 7,725 "," 8,225 "," 34,610 "," 9,010 "," 3,170 "," 2,415 "," 5,975 "," 25,240 "," 20,610 "," 14,930 "," 3,195 "," 275,950 "," 845,660 "
       Algonquin , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Atikamekw , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Blackfoot , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Carrier , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 15 
       Chilcotin , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Chipewyan , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Cree , -   , 35 , -   , -   , 40 , 10 , -   , -   , -   , -   , -   , 15 , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 100 , 160 
       Siouan languages (Dakota/Sioux) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 35 
       Dene , -   , 10 , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , 10 , -   , -   , -   , -   , 30 , 30 
       Dogrib , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , 10 , 10 
       Gitksan , -   , -   , -   , -   , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , 60 
       Inuinnaqtun , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"       Inuktitut, n.i.e. ", -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 15 
       Kutchin-Gwich'in (Loucheux) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Malecite , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Mi'kmaq , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
